block_number,block_timestamp,tx_type,transaction_hash,pool_tx_index,pool_log_index,proxy_log_index,sender,receipt,amount0,amount1,total_liquidity,total_liquidity_delta,sqrtPriceX96,current_tick,position_id,tick_lower,tick_upper,liquidity
23353892,2022-01-05 00:04:14,SWAP,0x91efb0df853c12bfe4ab5c238f3256c49d4a80f46e92eca5bcc3df8ae84887db,55,266,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,3880960561,-1026776354917926888,1370269449887500119,0,1288980948075461854539994881339901,193950.0,,,,
23353893,2022-01-05 00:04:18,SWAP,0x43084e027c61d4bad54be09f68958d615b4c20b6d060434d4f32fbbdca5f5c89,95,338,,0xe592427a0aece92de3edee1f18e0157c05861564,0xf2e4209afa4c3c9eaa3fb8e12eed25d8f328171c,1000000000,-264552258644486561,1370269449887500119,0,1288965651821616946955967601849558,193950.0,,,,
23353900,2022-01-05 00:04:46,SWAP,0x82422466b841056302543468d536fdcfb33b6b304ae8790ad83e732de50a9ea0,5,19,,0xe592427a0aece92de3edee1f18e0157c05861564,0xc6d5ad3c4002a1b48d87b83939698660516ae142,-5914086110,1566241989228668416,1370269449887500119,0,1289056165719910473649812685969076,193951.0,,,,
23353913,2022-01-05 00:05:38,SWAP,0x1ccc07e809a24f3b54397d61744464b6d01a876475340549f96058f049770c44,43,230,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,9003418683,-2381926932163220138,1395128131590419632,0,1288919201355989869619169531027011,193949.0,,,,
23353914,2022-01-05 00:05:42,SWAP,0x06817c388be786a4d5378d7ba88768249b087ccfbe502793a55bb1b003845962,56,241,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,1000000000,-264526969366122002,1395128131590419632,0,1288904179090117807221948194527169,193949.0,,,,
23353917,2022-01-05 00:05:54,SWAP,0x3f7b296a3347c321102a47ed678d1b6af8db360202beac497b07d36858003df6,66,259,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,-1646136417,435886538733967557,1395128131590419632,0,1288928920346137411444125216055659,193949.0,,,,
23353918,2022-01-05 00:05:58,SWAP,0x3b3651cfea59f6fad47fa064129c28153e1a7665777a3128961395de8f0fb648,0,13,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,-6936471200,1836918947800587697,1370269449887500119,0,1289034495885229369616557504309464,193951.0,,,,
23353919,2022-01-05 00:06:02,SWAP,0xa2787d1fed199ca17c8cb902efece50c81d51207854ebef5436450b483807c94,96,329,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,-2139531392,566652500354157824,1370269449887500119,0,1289067243013155679224830919820212,193951.0,,,,
23353921,2022-01-05 00:06:10,SWAP,0xd317ee42faff3855d571e3e5054517b4c0775fe816d5d391090674a814d19dc3,3,30,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,1921432381,-508381780681630461,1370269449887500119,0,1289037848681739736056052571218067,193951.0,,,,
23353928,2022-01-05 00:06:24,BURN,0xe6f83a25910ec9945e829e24158e795977f4af6b70abae5a05932e9d7e450734,56,241,242.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,,0,8028675937866099451,1370269449887500119,0,1289037848681739736056052571218067,193951.0,13283.0,193890.0,193920.0,329754919099238285
23353928,2022-01-05 00:06:24,COLLECT,0xe6f83a25910ec9945e829e24158e795977f4af6b70abae5a05932e9d7e450734,56,245,246.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xb020852796bb04e431e6a2f018805c142fbd4a03,869413,8031239514820639447,1370269449887500119,0,1289037848681739736056052571218067,193951.0,13283.0,193890.0,193920.0,
23353930,2022-01-05 00:06:28,SWAP,0x4a7c46dd9255ca1ca9b2b5da2f8bd2f6b7572d3da0f76aa83722d8700e7391c0,45,147,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,-305612962,80939910365013574,1370269449887500119,0,1289042526239144689778077379529988,193951.0,,,,
23353933,2022-01-05 00:06:34,SWAP,0x74e58d6bb841cbfde8e8702563b2b8bd77a8c8fb61be4b769f186036dd058c84,1,38,,0x897a6bbee1f08fd5ca3e698db6645bcf2c85b936,0x7228cc6599676dbf447430833773a9233aa95c88,-25559183273,6771288468218645037,1370269449887500119,0,1289433842344793413362341797814380,193957.0,,,,
23353939,2022-01-05 00:06:46,SWAP,0x509075e74d4e9110c85118acd3f8aa65d34943d2be4dba286fcbc63443e4415e,3,26,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,-6933774047,1837644991731783230,1370269449887500119,0,1289540040756676837276182818983440,193958.0,,,,
23353979,2022-01-05 00:08:07,SWAP,0x3665ffb7b4a3a893ac629f9509393e026949236b88503fb34892c64f1c40c0ee,0,3,,0x897a6bbee1f08fd5ca3e698db6645bcf2c85b936,0x7228cc6599676dbf447430833773a9233aa95c88,9636212621,-2551232193192338458,1370269449887500119,0,1289392530032541186027929793057245,193956.0,,,,
23353980,2022-01-05 00:08:09,SWAP,0xb15451264b91c8d8176661e57054785c9e076d688a7fd5eb7db2e4cdce16711d,0,3,,0x897a6bbee1f08fd5ca3e698db6645bcf2c85b936,0x7228cc6599676dbf447430833773a9233aa95c88,2451273781,-648893035898309921,1370269449887500119,0,1289355011424134097553313103144938,193956.0,,,,
