address,position_id,tick_lower,tick_upper,start_time,end_time,liquidity,start_hash,end_hash
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f-199110-199120,199110.0,199120.0,2024-01-05 20:55:35,2024-01-05 20:55:35,252412159288547606528,0xa9e81ff3a2423c952d1d51a55251cd1c22ece6457633eebc288919061d202d81,0x45a83ffd38d625ed00ef83fc030944ef5f26595f7b9ebeca9f27f67ca9fcca59
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f-199130-199140,199130.0,199140.0,2024-01-05 06:07:47,2024-01-05 06:07:47,291570888392828846080,0x59f2460e22ba49c6bd942f6aa9c67b41062125b40abb0af89b04be67c8aee42b,0x979867455f7dd8c9e5830e57fc225c362a38250b88d8215c25d7f5f9f4407b30
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f-199150-199160,199150.0,199160.0,2024-01-05 06:38:23,2024-01-05 06:38:23,309862507815858929664,0x228174bc04a34f0355feb5b23f8a05050808c00832b32c42fbe63678e9ad56cc,0x1f84a16648bb2f7a3ecae76c42c6eddcfb9582306e1f11da8fd9f5ea506ce6cb
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f-199150-199160,199150.0,199160.0,2024-01-05 21:26:47,2024-01-05 21:26:47,484128564298240557056,0x7b919dd8a586f9d5304974c8a3873b8a9684f0c7bcc02ff680a0a3d6746c033b,0x75fccd6b3af5af8d16089652e3c0ddae4eb20fc98d6da2f9abc3e964b5b4eeae
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f-199180-199190,199180.0,199190.0,2024-01-05 15:11:11,2024-01-05 15:11:11,469808795634124587008,0x1fcb6aa1885e125a547453f46c14ac9dc7c06578fb813bd6dd3a933aa92be169,0xbd12c87bfce01db79ede7a4715212b59dc30eceea3c71a541c4ffa7a9524d083
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f-199200-199210,199200.0,199210.0,2024-01-05 19:02:11,2024-01-05 19:02:11,401910730654057168896,0x3b1cf58af71b97568d8b468dd9c22eb2ce80ba57f9cf6575a9dc2b64eec50b42,0x2e723a14a91b913919d8aef038ea47f7a11f5b18e40d036fba7b0b8fdbb255ad
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f-199200-199210,199200.0,199210.0,2024-01-05 19:54:23,2024-01-05 19:54:23,416473162016455655424,0xfc232426b62ef436201ebbc71558acb70f4a843a37fb18ece204716066d552c9,0x8a418e78323f575a989c557893f1d51d11d3d8a2916ab95292c61bab9ca10cd6
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f-199210-199220,199210.0,199220.0,2024-01-05 17:57:59,2024-01-05 17:57:59,568238075500375900160,0x85027dc233a21affbf04d97313a93f2adcf8cc4d18fc2ac2163663c5fc15e7db,0xc5612dd6eb0f823cf7214101e85fe58896b9ab28a4ee0409a002cc0c10913deb
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f-199220-199230,199220.0,199230.0,2024-01-05 15:46:23,2024-01-05 15:46:23,430802486932703150080,0xf43ab6da573faf8a90a18bacf4556b8d2cb438c4564d421eaba65dff0d2c0eb0,0x536c60f57d04f5d04512817d58af208878da256aa76a057e3c7cc8f367f64f01
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f-199220-199230,199220.0,199230.0,2024-01-05 16:12:11,2024-01-05 16:12:11,362078305120766656512,0xd265e34bf2842f542186d98dc5de51f55d6059d9649adb7b17199ceb7032f348,0xb16ef53f3057f071ab0c1a908cc2debc1a05e34ee524c98e680be7134f4c475f
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f-199250-199260,199250.0,199260.0,2024-01-05 15:58:23,2024-01-05 15:58:23,367925652056062296064,0x3499866d61696aa9578ba3b953574ba49f364f15c0e42f4482ff3f4eaf172f20,0x0a4693b40beb2cf8a4d86b70be06d9b6d4136fe05900571af23319f9b3e1306c
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f-199250-199260,199250.0,199260.0,2024-01-05 16:29:47,2024-01-05 16:29:47,326311879782684164096,0x7ec3977ffa772e1e7946e4fe7f70c49f5946a3215a9d7b6e8b20894f883847a9,0x28f81039999b27ef1ba91ce9441b5268edc747dd05b4bfdb6348b81b07dc69d9
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f-199250-199260,199250.0,199260.0,2024-01-05 16:34:11,2024-01-05 16:34:11,311234895617367474176,0x1b58a1490ec9a9f7e1a90b6429803d6798735a7da30691ace844b761d9cc7fba,0x6ac671cf1b227f138cf970c3a8ab19af386bea70b2871ea2866e3286cdc1ae19
0x51c72848c68a965f66fa7a88855f9f7784502a7f,0x51c72848c68a965f66fa7a88855f9f7784502a7f-199310-199320,199310.0,199320.0,2024-01-05 17:10:23,2024-01-05 17:10:23,294652544539393654784,0x91601b6fe6da940939b17bc94c37332e5d5c1503d87e7a1e528d56af86f13a9e,0x7605539a8bb7223053d1b633928456ed21a509dbca80c297ae96885b54037b9e
0x5f7b22bb02be227be5f3c7193aa7baf9378708d6,635099,198100.0,199150.0,,2024-01-05 01:38:59,2083976003093712,,0xf8f1154558e5ca4d174bed782c6407be5340052e1e1c3e4e965d126692d51b92
0x67699d2d3940f4db8fe5f683fbd6b6c27df1610b,639216,199130.0,199820.0,2024-01-05 07:52:11,,3107986425125118,0x558fdf3e1a11be10c8c742d3d4b8b00497e43d1f84dfb3b9511cfb5af4a64d7f,
0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6b75d8af000000e20b7a7ddf000ba900b4009a80-199150-199160,199150.0,199160.0,2024-01-05 06:38:59,2024-01-05 06:38:59,27749592040835383296,0x40ec279809a4e03a8b2d1a56dd04856c0f5538242a9d34958310e92851dc0cb2,0xfda4ad7a3da2e53fe7011042604e231cf64a294ea2c859cc267cb54697dce343
0x6f3c370b31798afaaedbe263defb9c2b85a3005c,639203,197880.0,199360.0,2024-01-05 07:34:35,,172233004084827,0x0448aecd1efcf5fc85691ff41c17d096d6ebe7cec182bc5b1924671569e05097,
0x7140ceea585cc185fae332379c4abbec9e71e146,624925,198280.0,199820.0,,2024-01-05 06:06:35,51206161179152,,0x5c6e748b0f0d55ae58fd9b89e27c9d0d2495313e189051b3bbeb2e7a43348ac8
0x844d39d9215c40b47a703f2ecf8da43e20b5b687,636993,191980.0,200820.0,,2024-01-05 17:07:11,1263678415097473,,0x7ba5e25fcbf3c9d2cdfeb84e7ddaf76a994521fd69b47893445a6237983adcfd
