transaction_hash,block_number,transaction_index,from,to,value
0x562237adbb39b66355f7d7a7a654fc965aaca70fb335f9792ff1017198949956,18937721,108,0xc3a60ac0d824346b40e84d09cf035d9b5c4bc7d3,0xc36442b4a4522e871399cd717abdd847ab11fe88,104367013104824423.000000000
0x4694fe77f71c02e79b05d9cdff5bcacb109f0138aa22af8087ac3efd4fd80db8,18937978,0,0x042523db4f3effc33d2742022b2490258494f8b3,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,14585856.000000000
0xe83a490b73f6e392aac4471d57111d393d65c0d00195f3f938a05aa4b3c3d856,18938095,2,0x0cac3d1a887206e0f6169222c4504301a8b4b993,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,12251136.000000000
0xfda4ad7a3da2e53fe7011042604e231cf64a294ea2c859cc267cb54697dce343,18939352,4,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0E-9
0x3d03f5d4a9aaf34ce4b65a83cd208ec2eb7b9b5482a806bde217c0d1e4775e31,18940811,119,0xec08867a12546ccf53b32efb8c23bb26be0c04f1,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0x7f0db523c513551a4ef758b2f0d20d365400b628e75e55e5b78354b6bb764d24,18940843,0,0x9aab3f81604c683a1a0d14019fbfe15bef7aa1ee,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,13204992.000000000
0xa140ef5073d2874b08fc32e6374be2e84d4169cd71b576e5885ecd2bbc0ff0f2,18941563,96,0x11b50686d3983c14c0d0972a5e46e38e0d9b2e14,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0x21291d246529798c2f008619288a80140ec03147431b7930d7e5c8a607713a6e,18942048,196,0xb36d0742725f5d6db92227611f0ff3578afd0e29,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0x3499866d61696aa9578ba3b953574ba49f364f15c0e42f4482ff3f4eaf172f20,18942107,5,0x6f0a91ef8adeb54db0e63be507747ab9a31d3926,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0x3b1cf58af71b97568d8b468dd9c22eb2ce80ba57f9cf6575a9dc2b64eec50b42,18943016,7,0xebedc8e9ff409b23dd251f87ccbffa8075f87255,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0x591575a0d48d816e2886b73e4d1978e982ad59571b4b22d7408164eaf4c1e216,18937810,105,0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,0xc36442b4a4522e871399cd717abdd847ab11fe88,134999999999999999997.000000000
0xe84fa9b8e0fe7444c521a4f9a14c7ad9c0854d491e883f99754027815f9a0abe,18938095,0,0x0cac3d1a887206e0f6169222c4504301a8b4b993,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,12250368.000000000
0x3154ff51c79fa930be31681aa1197c7b294ca5c902c082c5d5cec9d6cd1305c1,18940214,0,0xd6f4567bfa29bc70b26dccaeb07e5868905d667c,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0xa68b79403a9619488946bbd38aec0097da24823472e51279170f338ac5b21eb0,18941441,80,0x0f3c2476fbf0ed09dff00ea7f4ef252dcc72e6f1,0xc36442b4a4522e871399cd717abdd847ab11fe88,42170123021429142875.000000000
0x2a897753c94504a28af7dc39fd5e74f56c4c8fbe3708364083d6e96f4e0cbfd1,18941500,79,0x11b50686d3983c14c0d0972a5e46e38e0d9b2e14,0xc36442b4a4522e871399cd717abdd847ab11fe88,867499999999999999994.000000000
0x1b58a1490ec9a9f7e1a90b6429803d6798735a7da30691ace844b761d9cc7fba,18942284,0,0x867bdc57d1b071fe5a9f670dd70b91e4269814d3,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0x828f901b177f128fd54f2b2071c5c8fd03c1be1dfc540cf17ac8c026b7bccec3,18942449,124,0x14d0887bceb5cb5e1b45fed67611c10385e92c50,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0x47e42f97d59aeccfd8f98a45ba025643348f11e4c9955b4c67091393909eda5b,18942489,112,0x14d0887bceb5cb5e1b45fed67611c10385e92c50,0xc36442b4a4522e871399cd717abdd847ab11fe88,46606322465296889797.000000000
0xdf6d44533d8f63c3f2c636e8168f1eb053cf6b6d3c310334793e29eafa5d9cbf,18937743,2,0xeaa9ebddd373c4bd8bb92dfcc9c7e7fcdb268e51,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0x0448aecd1efcf5fc85691ff41c17d096d6ebe7cec182bc5b1924671569e05097,18939628,75,0x6f3c370b31798afaaedbe263defb9c2b85a3005c,0xc36442b4a4522e871399cd717abdd847ab11fe88,209335880711564444.000000000
0x8282e2ce7a8989706fb5945480fac3e30917f2130d21f4b4abdaa6b9b37071de,18940422,103,0x1f89162291a46993cb89bfe05703ab481db3b0f5,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0x6cb04621673dd6250d93370c239422c019f1dea9444976b0498d7b73ea253986,18940729,86,0x87692dd6bbfa1954b2ae3999d74efc08274bf2a8,0xc36442b4a4522e871399cd717abdd847ab11fe88,35999999904307243.000000000
0xc26bd2da6141e2dad3d4e3710c84ae7c12a14c1f48200398b127f1a6518b33f1,18940843,2,0x9aab3f81604c683a1a0d14019fbfe15bef7aa1ee,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,13205248.000000000
0x681b030492d0a30b7d08d51029379dfadbd188e9a70b984603ee307dc7671f7f,18941532,153,0x11b50686d3983c14c0d0972a5e46e38e0d9b2e14,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0xa4f70073834a3f7bbe762220fc9e264acf893d7805fa0493e3315cbbdd6147d9,18941723,176,0x11b50686d3983c14c0d0972a5e46e38e0d9b2e14,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0x2c289a1db82bb6d9edc7378012925c81939b5b30447a0ef19702a1634741c495,18942100,151,0xd5483a86a8fb9b54a0d0f361a384aa3c5b8ce000,0xc36442b4a4522e871399cd717abdd847ab11fe88,1089999999894766792.000000000
0xedc73d90bed797e5e59b67f836478017ebcffb777fdf7f37166ebeaee7b5a19d,18942589,109,0x0af9a3a1eb903a6d9d7e48973e57ed3d123eac34,0xc36442b4a4522e871399cd717abdd847ab11fe88,2999999999325256594.000000000
0x8a418e78323f575a989c557893f1d51d11d3d8a2916ab95292c61bab9ca10cd6,18943274,12,0x6f0a91ef8adeb54db0e63be507747ab9a31d3926,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0xdd0816b85ec18706914209bad4854c094b0ff40e60c1add219fc388119b91679,18944051,107,0x6bcd7ab28049734676a16d6ac160b98724886e4c,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0x9c2ca9e1f213f10f86df471cf4d7efc35c0f76b3d21b83ca8d1170c7088c388c,18944163,93,0x6bcd7ab28049734676a16d6ac160b98724886e4c,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0xf66dc1f9c6d2cc31f5a09d52a5b99956b00ad849434c533c52b8858dc804fe28,18937605,4,0x867bdc57d1b071fe5a9f670dd70b91e4269814d3,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0x9e1ab54c7a97cbbe149958e4122691eb382e7a59f0c184a258366436f4d220c8,18937796,106,0xbe8728d60ce3faa23f2f0610715e3fd7f76fd219,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0x3037c78abd5f109ed28a73bf8708302ede353f744de15bc8f94e72e097e38a55,18939213,94,0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0x40ec279809a4e03a8b2d1a56dd04856c0f5538242a9d34958310e92851dc0cb2,18939352,0,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0E-9
0x43dceaf1b7c77223f4a1fe90639ebb407c732448d1c5ac2c0d38c325ba2fd788,18940130,0,0x6f0a91ef8adeb54db0e63be507747ab9a31d3926,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0x4c8a08e80888fc9cc3568df38902ca523c5f6ba009f8304c68541ce84393a0e0,18940765,2,0x065e3dbafcb2c26a978720f9eb4bce6ad9d644a1,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,14819840.000000000
0x9d3ef5e6e24935beda07121f7ec1ca691c8c13a7600240068f74f801d35da6ca,18941744,155,0x11b50686d3983c14c0d0972a5e46e38e0d9b2e14,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0xd265e34bf2842f542186d98dc5de51f55d6059d9649adb7b17199ceb7032f348,18942176,0,0xb36ce3f521a1ff4b0cffb82ddd71f0a51fcf56ce,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0xb16ef53f3057f071ab0c1a908cc2debc1a05e34ee524c98e680be7134f4c475f,18942176,2,0xb36ce3f521a1ff4b0cffb82ddd71f0a51fcf56ce,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0xdd41020aab72390f327dd3fb97514b7c75a55ccf85d183291ccbe111239858f7,18942196,46,0xb36d0742725f5d6db92227611f0ff3578afd0e29,0xc36442b4a4522e871399cd717abdd847ab11fe88,4581988696411251670.000000000
0x72af6ed3b22f53aa90bcbfbc9c0ca67c8bad66a0b3293e7b89d145b9c2533f78,18942417,74,0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,0xc36442b4a4522e871399cd717abdd847ab11fe88,225000000000000000000.000000000
0x66671cd1d77fe3bd73109be41553de87d6d0620cddd7ce7fc5292185fcc2b8b8,18942575,155,0x771866231a7fb219bd3d61fef7ea991449258112,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0xa9e81ff3a2423c952d1d51a55251cd1c22ece6457633eebc288919061d202d81,18943574,1,0x867bdc57d1b071fe5a9f670dd70b91e4269814d3,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0x2b3f9d4776acd495665018f8deae9de73ec4b723f3655219ff487c4766617250,18937743,0,0xeaa9ebddd373c4bd8bb92dfcc9c7e7fcdb268e51,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0xfd72ee3ba310d5d4df51a38bc048db0ab7f81d6c49479e025ea8f4fb49c01b20,18937868,2,0x4603180bbb8221157880afaa84638e0fc467738d,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,12917760.000000000
0x979867455f7dd8c9e5830e57fc225c362a38250b88d8215c25d7f5f9f4407b30,18939196,2,0x5fa60dd1d2809604496d3315ab6f878bd59f64d4,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0x228174bc04a34f0355feb5b23f8a05050808c00832b32c42fbe63678e9ad56cc,18939349,1,0x12dde15d3bc00d69fb6f94b5afe8cb71a364756c,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0x8020a064a924235bb2ad57ebc1e9385e4d130a5932d0361386a7b95f7db57165,18940270,100,0x4652d3c8b3373df2f6cf6b01807554ae1d534fbe,0xc36442b4a4522e871399cd717abdd847ab11fe88,56198598819211534360.000000000
0x27da694c64006d31300adf8507aa764aa6b52f36590022885bd91640e726c07f,18940460,86,0x384dbbe1a9344c2eb8b3996e9449d596c50c6a42,0xc36442b4a4522e871399cd717abdd847ab11fe88,30727359581204577612.000000000
0xbd12c87bfce01db79ede7a4715212b59dc30eceea3c71a541c4ffa7a9524d083,18941873,4,0xebedc8e9ff409b23dd251f87ccbffa8075f87255,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0xc00944f548665684b60b9648f722b77c0ee2e255f0d8a7a4bd8c2a11db661d45,18942040,149,0xb36d0742725f5d6db92227611f0ff3578afd0e29,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0xffaf3ff921cbabc52dd16cbdaaa7ed778846a0dc666f2c49f8d38ebd822c0c7f,18942188,116,0xb36d0742725f5d6db92227611f0ff3578afd0e29,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0x7ec3977ffa772e1e7946e4fe7f70c49f5946a3215a9d7b6e8b20894f883847a9,18942262,4,0x3a67b184803641ba107c4c75276d747d123e49ca,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0x6063934c3368a12ccdcc4ef0bb339c88e0729a89fa1ed58b26738759d3d89daf,18942321,39,0xb104740792cabb0a95784e272fd7d989d0fadd72,0xc36442b4a4522e871399cd717abdd847ab11fe88,31499999612496217.000000000
0xc158262697b37d803342e6a4ab1fd52774bbd34f547f2c102f5f34fd11330ba2,18942730,55,0xbe284ab5a8038812f0e8a01559eb253f98d8da69,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0x58e7d9533efea42a4bdb31d6e4855890d4429cc7ed8b1cdf5d8181289af539eb,18937866,69,0xa9ed075d64939c1ef7d31b4143e4a18b5c964e01,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0x0d7619e86789b0b44081e0eabccda99bce8753333e84388e0d39b5b81601eadc,18937978,2,0x042523db4f3effc33d2742022b2490258494f8b3,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,14586368.000000000
0xaff53d5d3c455391bf7e8c19ad4ecca6f800458a068740ffb66a20501c5b3059,18938147,2,0x43e4715ae093a4c86b5ecddb52216c4f879e9672,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,12011008.000000000
0x6f4e917efdbf939c436058cb347934a67044eed82d2e129bb4b69e9c4ecf99df,18940165,5,0x12dde15d3bc00d69fb6f94b5afe8cb71a364756c,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0xd93cc651c5d852bfabc372abf5682eb73bf7811d002905ab9b5bb45c6c96b999,18940625,147,0xb3f375556587c21933b4b416d07e5b6c61696da4,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0x42118904ddd2d9b9b574f1af1519bc21aa44220aa1011d5b6280363f8cf38164,18940765,0,0x065e3dbafcb2c26a978720f9eb4bce6ad9d644a1,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,14819328.000000000
0x1fcb6aa1885e125a547453f46c14ac9dc7c06578fb813bd6dd3a933aa92be169,18941873,2,0xebedc8e9ff409b23dd251f87ccbffa8075f87255,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0x6ac671cf1b227f138cf970c3a8ab19af386bea70b2871ea2866e3286cdc1ae19,18942284,2,0x867bdc57d1b071fe5a9f670dd70b91e4269814d3,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0xc5612dd6eb0f823cf7214101e85fe58896b9ab28a4ee0409a002cc0c10913deb,18942697,13,0x6f0a91ef8adeb54db0e63be507747ab9a31d3926,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0x2e723a14a91b913919d8aef038ea47f7a11f5b18e40d036fba7b0b8fdbb255ad,18943016,9,0xebedc8e9ff409b23dd251f87ccbffa8075f87255,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0xa2956ce07cb55ae97fc28edf19f2bd03391ac4546511df3c56b8075ad1d95171,18943516,0,0x93f635372008b7c5d770aaa6ff313454c8dc498c,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,2277888.000000000
0x45a83ffd38d625ed00ef83fc030944ef5f26595f7b9ebeca9f27f67ca9fcca59,18943574,3,0x867bdc57d1b071fe5a9f670dd70b91e4269814d3,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0xe781ca35c6be32d4d489046657e55ea16d0df3123b550f4b0b0df44c3d598e1f,18944451,13,0xb36ce3f521a1ff4b0cffb82ddd71f0a51fcf56ce,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0x99ced896693fa98acebcdf1589158110648e5112bae50828d011239f2a47f5d3,18938147,0,0x43e4715ae093a4c86b5ecddb52216c4f879e9672,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,12010752.000000000
0x558fdf3e1a11be10c8c742d3d4b8b00497e43d1f84dfb3b9511cfb5af4a64d7f,18939716,137,0x67699d2d3940f4db8fe5f683fbd6b6c27df1610b,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0xa70501375e8bb951ffbe848423e1e31ae7fe51cd2cbecf0e9653b81c00b07fcf,18940124,128,0x9d998f1e57b90f0baf7426e10a43d358c30e8655,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0xe46ae5f4099866d1f8d9e30f1e6f9838b43d140c9f02393268bc053858b8c476,18940126,40,0x3e24f6420bacf44aaa0d38dff8c3ef7a8dbc68ec,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0xa0ce3e1cff2627e30c924c7dc6032fbe7aaaa38d7b569fb004a8e1c442b5675f,18940130,2,0x6f0a91ef8adeb54db0e63be507747ab9a31d3926,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0x08266e7d85ab57cb28d2cc17c64ff21b9a0d7dd0630209cd400dae7f73f588a2,18942038,158,0xb36d0742725f5d6db92227611f0ff3578afd0e29,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0x0a4693b40beb2cf8a4d86b70be06d9b6d4136fe05900571af23319f9b3e1306c,18942107,7,0x6f0a91ef8adeb54db0e63be507747ab9a31d3926,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0x91601b6fe6da940939b17bc94c37332e5d5c1503d87e7a1e528d56af86f13a9e,18942462,1,0xeaa9ebddd373c4bd8bb92dfcc9c7e7fcdb268e51,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0x7605539a8bb7223053d1b633928456ed21a509dbca80c297ae96885b54037b9e,18942462,3,0xeaa9ebddd373c4bd8bb92dfcc9c7e7fcdb268e51,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0xc172807c5faaa4fc3d52c42e66c09ac405db97ec8e0bba9298d8472e5483bdb1,18942493,116,0x3e3007671efaf119444d2257d777fac90a6dbf13,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0x9d2ed95d2b78afb3bfe71a55823bae6b6da888f27ac8d9829ecb723423c7cc5c,18942564,195,0xe31aec7168259c8f7ccdad01acade55d59977624,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0xba9c0a7643c0b03741e50efb17e34a035c0a8f609f245957ca231c5777e720c6,18943887,114,0xb36d0742725f5d6db92227611f0ff3578afd0e29,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0x5ece2a5f29b65b57bc8790740eef66c3473486d3da8a216d3c12d6a40059d21a,18937862,84,0x5f7b22bb02be227be5f3c7193aa7baf9378708d6,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0x578462eb1ed4ec0c4b54914fdab14713ce8dd368df51274dd73da62bb8d1f269,18939360,0,0x431b5a84acc1297eda88259f300262f1bc3a74f3,0xa69babef1ca67a37ffaf7a485dfff3382056e78c,14749952.000000000
0x590ec48473a040651c179d240d66119373a5b04b367c1d588b727962bec4fad8,18940214,2,0xd6f4567bfa29bc70b26dccaeb07e5868905d667c,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0xdb5c7cfbcac4375dab2abc7d03268160349d38fa50253b423d28d1ab7911b14e,18940498,72,0xec8f23cbe9655ea367ffa1e4868c9ae7f0577771,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0x0f4be9b95da74c309b020161ca4458b4345594c83fee456ae9760a526656ce26,18940680,196,0xb3f375556587c21933b4b416d07e5b6c61696da4,0xc36442b4a4522e871399cd717abdd847ab11fe88,6299999999693207719.000000000
0xf43ab6da573faf8a90a18bacf4556b8d2cb438c4564d421eaba65dff0d2c0eb0,18942049,3,0x3a67b184803641ba107c4c75276d747d123e49ca,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0x8ebe653be2ce7f625813bb006c083f98c02e095a5f31299e0037f8cd8f3ec6ae,18942562,145,0x0af9a3a1eb903a6d9d7e48973e57ed3d123eac34,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0xfc232426b62ef436201ebbc71558acb70f4a843a37fb18ece204716066d552c9,18943274,10,0x6f0a91ef8adeb54db0e63be507747ab9a31d3926,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0x75fccd6b3af5af8d16089652e3c0ddae4eb20fc98d6da2f9abc3e964b5b4eeae,18943726,6,0x3a67b184803641ba107c4c75276d747d123e49ca,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0x168a988918369cb0585f689e5fa4a82cd0ed6979561b0443aa84c68ac61b6a2f,18943906,84,0xb36d0742725f5d6db92227611f0ff3578afd0e29,0xc36442b4a4522e871399cd717abdd847ab11fe88,21659999999309666563.000000000
0x55ef2ca55d22494d03d245b5e529e0286e3a2ec68a92f7ecc15f9c7d0c62a4f7,18944451,11,0xb36ce3f521a1ff4b0cffb82ddd71f0a51fcf56ce,0x51c72848c68a965f66fa7a88855f9f7784502a7f,0E-9
0xff008cd2b0512bcaef732c9b15c6e1077524779ea1d8b21ce62e9161d79311b6,18939353,32,0xc3a1d6997d9f27301c3663b816e6a879f9cd2f84,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
0xe79fa8b087eb890721e0d1677d3bfa947b57f9966703c156e44d1de6fcd20fde,18939356,40,0xc3a1d6997d9f27301c3663b816e6a879f9cd2f84,0xc36442b4a4522e871399cd717abdd847ab11fe88,0E-9
