block_number,block_timestamp,tx_type,transaction_hash,transaction_index,log_index,reserve,owner,amount,liquidator,debt_asset,debt_amount,atoken
51986427,2024-01-06 00:14:48,AAVE_SUPPLY,0x40f190ef3b8caaf5245f079fde5d9822596c9f8254dbe201d0fef3af9be098c1,60,254,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xf73eedbf17f8d3464dbb90609da55b804493239b,1171339816,,,,
51986429,2024-01-06 00:14:52,AAVE_WITHDRAW,0xba2bb73f4edab5f978ce472bdac6fa9cbb8c1333ce5f9c6ec858214881cd9e5f,16,69,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xa9cffe466ba8a72707d1104de239c9ab477e2493,13112410,,,,
51986457,2024-01-06 00:15:52,AAVE_REPAY,0xfffabe7f616d8bf497e48a4070978ff6005d4ed4d162cf87a1a59b1b16face87,54,294,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x54c40fb7c72f7f2521e4e1c5ddd2acac43fafa21,14963426,,,,0.0
51986471,2024-01-06 00:16:22,AAVE_BORROW,0xa040b482c80deaf4bf51b7b167af7beff19e770d424f7e45163fca3bc20e410c,48,238,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xd48968775fc2830f9bac1cf1b999ecf4961e44d7,1000000,,,,
51986483,2024-01-06 00:16:48,AAVE_WITHDRAW,0x77f62ba3fcb767aca35b03285d69fa2bf3c91561494344cdc934a4bf3ab0ea1a,34,171,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xa9cffe466ba8a72707d1104de239c9ab477e2493,343177332,,,,
51986591,2024-01-06 00:21:10,AAVE_BORROW,0x045eac3196299a1041990a6a01323c3d8e571ce1453bda71461716b969550845,121,748,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xf73eedbf17f8d3464dbb90609da55b804493239b,904549181,,,,
51986607,2024-01-06 00:21:44,AAVE_SUPPLY,0x946bcd973a057c7ddce7093da484dcbc927daa231ebe39707f6927d9aaa66fe0,127,486,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x492bbf7ce3faa0861b4f7f62a817c5c5c1be5f5a,67123796,,,,
51986615,2024-01-06 00:22:02,AAVE_BORROW,0x4185a6bc740609a72d5f9c4cff59c727093994f654b800685255c147a8a78848,39,133,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x4dded54d36b51cb3eea2e6b2cf9a1e316ed8769b,2000000,,,,
51986624,2024-01-06 00:22:22,AAVE_WITHDRAW,0x17afde55847c40908309076817de6bb8c54d7115860de1002ad02e15ef110c86,68,442,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xe3090207a2de94a856ea10a7e1bd36dd6145712b,2817344110,,,,
51986650,2024-01-06 00:23:17,AAVE_SUPPLY,0x5371d9549397dbe18cf6cf6c35b3c2aec94741a86cf0b365615b22be8d99518c,53,520,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xf73eedbf17f8d3464dbb90609da55b804493239b,904549181,,,,
51986685,2024-01-06 00:24:31,AAVE_BORROW,0x1538f66cde6b4d91dee2b2509c37a7cd45b2451529049d4cfb864ab68874288a,48,345,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xf73eedbf17f8d3464dbb90609da55b804493239b,698578942,,,,
51986726,2024-01-06 00:26:13,AAVE_SUPPLY,0xa78fa804b02b598a2ecfe05af53a8283a18d65abc4d7fa04206eb3a1c3a2c8d8,136,887,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xf73eedbf17f8d3464dbb90609da55b804493239b,698578942,,,,
51986802,2024-01-06 00:29:13,AAVE_REPAY,0x55fcb5285865946820003692167edf5e7060d9f811c1dd8905f31eda7e367342,49,261,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xf883803c6707dff490b5da832602dbf6f60333bc,200000000,,,,0.0
51986812,2024-01-06 00:29:33,AAVE_WITHDRAW,0x20d8b500d154a24b9d7599e44ec1fc0aefa6716960945c8d3ae0714310099998,68,398,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xf73eedbf17f8d3464dbb90609da55b804493239b,310000000,,,,
51986841,2024-01-06 00:30:35,AAVE_REPAY,0x79ce870f6fb7d5af2c7a29aced715814495326cb5fa456d01b1ecfa3ab0bc479,51,180,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xf73eedbf17f8d3464dbb90609da55b804493239b,310000000,,,,0.0
51986956,2024-01-06 00:35:11,AAVE_WITHDRAW,0x321a0100f6dc05344d90949e9def8ca2cc84bfb9894766610eb41717e51b53b0,69,251,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xc4aff49fced8ac1d818a6dcab063f9f97e66ec5e,5000000,,,,
51987026,2024-01-06 00:37:47,AAVE_WITHDRAW,0xafbed780ca0664351a0addbe49ca92aa036ce846997d99b6c4a0a0b43e08bc9a,140,604,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x301f221bc732907e2da2dbbfaa8f8f6847c170c3,122321153,,,,
51987026,2024-01-06 00:37:47,AAVE_WITHDRAW,0xafbed780ca0664351a0addbe49ca92aa036ce846997d99b6c4a0a0b43e08bc9a,140,658,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x301f221bc732907e2da2dbbfaa8f8f6847c170c3,122321153,,,,
