block_number,block_timestamp,tx_type,transaction_hash,pool_tx_index,pool_log_index,proxy_log_index,sender,receipt,amount0,amount1,total_liquidity,total_liquidity_delta,sqrtPriceX96,current_tick,position_id,tick_lower,tick_upper,liquidity
50351875,2023-11-25 00:00:05,SWAP,0xbcada78fbc2796bca8e669d5310dda64365d741f670017750c55eb89a0ff292e,25,31,,0x882b5cd9e9555ef6b674574a3eddc77cd695bdb4,0xbfa1cbfc7b79115947889ac7cb25801ee8055df9,2209910513,-1061323785703495633,1144008204379143069,0,1736663189734261915999643908203665,199912.0,,,,
50351965,2023-11-25 00:03:19,SWAP,0x6613906a608226d6f9db8e2098bc42e7dec4f6b55d7ae935876090e013e2900e,263,326,,0xc5620d0f23aa9157523df2f96f87ed17ad65129e,0xc5620d0f23aa9157523df2f96f87ed17ad65129e,-86530660,41596804536323994,1144008204379143069,0,1736666069075999216463938547332561,199912.0,,,,
50351970,2023-11-25 00:03:31,SWAP,0xbde31bec085bf9fd0d8903b4d5b74e82d556aecd269d4fb4c106b921fe2a6c0c,90,143,,0xe592427a0aece92de3edee1f18e0157c05861564,0xac604cc7e2a71e6b4af961c4ddbf72439d7dbd0d,-186915444,89853999999900000,1144008204379143069,0,1736672288793483456942170383542533,199912.0,,,,
50351985,2023-11-25 00:04:03,SWAP,0x336cad6af2c90a81aa81c39d2482ab56b37b93b49f8125017ff016c107d04347,355,507,,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,-12008680,5772835384306435,1144008204379143069,0,1736672688390665256893080503575486,199912.0,,,,
50351987,2023-11-25 00:04:07,SWAP,0x75bd3234c976f10a4ae419f7c2e7f4b262fc8d493ac97b085000843b4dd6ce83,79,195,,0xc5620d0f23aa9157523df2f96f87ed17ad65129e,0xc5620d0f23aa9157523df2f96f87ed17ad65129e,-512703951,246470481644551930,1144008204379143069,0,1736689749142151395490949529549421,199913.0,,,,
50351988,2023-11-25 00:04:09,SWAP,0xbbc8fd17db36bcfc5ec295a951f04625c57101475a744a9384e8f8d63cd903f2,41,129,,0xe592427a0aece92de3edee1f18e0157c05861564,0x29cad5c2747cbc6c9e37074128fbe679ba8bbd10,-1171161460,563026756504413056,1144008204379143069,0,1736728722002141263516518825743808,199913.0,,,,
50351989,2023-11-25 00:04:11,SWAP,0x6b0b10d77d575908a57255b9f692358c97616ee04f78e5737c1b9b39abc2f50d,54,137,,0x882b5cd9e9555ef6b674574a3eddc77cd695bdb4,0xbfa1cbfc7b79115947889ac7cb25801ee8055df9,-4929170774,2369937500000000000,1144008204379143069,0,1736892769698463336803731354236706,199915.0,,,,
50351990,2023-11-25 00:04:13,SWAP,0x29f943b5bc159401838739e30b50c5d6fcb5349f8cd1d9abd49657b844fe929b,74,168,,0xec409dcbf5a2e5cebd7b27a849ac407fe088e2c7,0xde5167c19a5286889752cb0f31a1c7f28a99fefb,-199922818,96132022308644540,1144008204379143069,0,1736899423982300997203628608229123,199915.0,,,,
50351990,2023-11-25 00:04:13,SWAP,0x489496e4a96b456ef59c9143c8586060dc62ac445d6796003359dd8eeb19b6a1,340,481,,0x0773edc0438b2ef18fc535b21d0ac77912c308c0,0x2d722c96f79d149dd21e9ef36f93fc12906ce9f8,-1528628875,735058929123173401,1144008204379143069,0,1736950304954471624801272427394839,199916.0,,,,
50351998,2023-11-25 00:04:29,SWAP,0xcb4180827544b526a2613fd8704669576d5a39a07447d1f1b268882d2bb36039,61,89,,0x882b5cd9e9555ef6b674574a3eddc77cd695bdb4,0xbfa1cbfc7b79115947889ac7cb25801ee8055df9,2289884132,-1100000485569913476,1144008204379143069,0,1736874124541688833679924461463373,199915.0,,,,
