block_number,block_timestamp,tx_type,transaction_hash,pool_tx_index,pool_log_index,proxy_log_index,sender,receipt,amount0,amount1,total_liquidity,total_liquidity_delta,sqrtPriceX96,current_tick,position_id,tick_lower,tick_upper,liquidity
22831299,2021-12-22 14:36:25,SWAP,0x780bfe7b771a73c2896219ae7af20df2aaad93894ce44b4eb39c6be9d2a54fbd,67,356,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,-1152623,289148300476499,53867413708118,0,1254761315703683166234810045727281,193412.0,,,,
22831370,2021-12-22 14:38:51,SWAP,0x91f675b6b416d19b24b11ef94983d76de8665629750b187de91f7223bfefbd1c,67,483,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,-1304739,327544871880032,53867413708118,0,1255242827645047190956810211943147,193419.0,,,,
22831870,2021-12-22 14:56:55,SWAP,0x1b2b451898a1a82a4a4c7d71274ed375a273f7c8498bad70101e152fc3b36a73,24,205,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,5547040,-1389417529482121,53867413708118,0,1253199273105331326107312450219789,193387.0,,,,
22833993,2021-12-22 16:14:40,SWAP,0x8e73459dc72eb639b77ff3a5b53e8dd47fce10a875770706e63b3557a93aaf67,80,492,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,2619449,-654545812273450,53867413708118,0,1252236567483917449901219850419795,193371.0,,,,
22836316,2021-12-22 17:36:38,SWAP,0x94441e0dd3831da45a90112736d22677500f19a2b6765aa219a7126bfc026175,50,269,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,-1840340,460217980778979,53867413708118,0,1252913117393258367173916222296263,193382.0,,,,
22836554,2021-12-22 17:44:50,SWAP,0x365e9096f6623d6bde6d0a3f13eed10225a87b3b5694b6e911cf0e2bbb0bbe02,64,358,,0xe592427a0aece92de3edee1f18e0157c05861564,0xe592427a0aece92de3edee1f18e0157c05861564,-6913426,1733307446271874,53867413708118,0,1255461190360008338825434193162242,193423.0,,,,
22836805,2021-12-22 17:55:36,SWAP,0x1e0329f7a3727d30107b2f49728e6a837ace2a0c0f9d91b92cbeb4c1ade6d88d,54,316,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,-766138,192517291335730,53867413708118,0,1255744203109269647900366838271193,193427.0,,,,
22837706,2021-12-22 18:26:39,SWAP,0x756ee1ac139f565037725ee7e1f164e1f21337d1b6b2ba6fdfc16e4ac78ca167,113,624,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,2842299,-713070972184135,53867413708118,0,1254695418714783393017201620906179,193411.0,,,,
22837724,2021-12-22 18:27:15,SWAP,0x57c25f9bfcdf1822b889b58c0061b4f0bab8c6d0ebeb8367606021d088aa2fef,90,445,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,6506289,-1627811247737798,53867413708118,0,1252301234825110558359034351327433,193372.0,,,,
22837825,2021-12-22 18:30:45,SWAP,0x88eb9b00fb30a41be16076a335142019850bc8aa892651df2aeb0c22846a5775,31,174,,0xe592427a0aece92de3edee1f18e0157c05861564,0xdb6f1920a889355780af7570773609bd8cb1f498,-2505790,626815671783002,53867413708118,0,1253222694011039058887918450854197,193387.0,,,,
